0Srosb487rov7Nrb	1729,2477,1732,1464,2072,1949,2290,554,2076,2012,2219,259,594,2525,292,270	CHE1-CL20	rare
0C3NAWDRDiGE9tVq	1400,1129,231,873,2414,2256,914	H60-L01	rare
0ZassBPsfkhxreur	238,2363,448	H30-U10	normal
0168t2Ccl0mWyQvn	508,1581,2916,2128,2476,172,1734,232,2192,1059,2432,462,2423,18,1050,665,1414,24,1483,2243	H60-L01	\N
0t0MuySnSUdtuxuY	2345,1829,72,898,1514	P6-T00	rare
0dWfu332c79lDfrE	373,2810,1973,2423,886,2920,2292	Honer6Plus	normal
0sce9Ji9Mz2bq0rp	1283	荣耀畅玩版	\N
0og8yQFZSMDATXrE	2540,2441,968,18,2920,1769	SC-CL00	\N
0CetMF8CEp2SVZml	372,980	Honer6Plus	\N
0JacT4bfb0xO7q4J	2008	SC-CL00	high
0Q99c0ExCXDO5m5x	851,2,908,1990,430,1095,966,1962	Honer6Plus	rare
0dTFKnQDfSPcrGjO	2823,2777,1627,29,675,106,2409	荣耀畅玩版	rare
06P7mUYRUjbmMrlF	1836,2594,2954,1004,2969,2951,2623,2260,365,2224,2568,1257	H30-U10	high
0PafojEWnu9S2Zio	375,1156,1780,994,824,240,726,2168	P6-T00	normal
0BiAxaTSnaLBe9N0	2404,610,1916,2783,1192,2737,1945,1388,1441,1958,869,2115,542,245,2274,1347,2960	CHE1-CL20	high
0vtlQ5lYn6IxLE5n	306,1970,951,2960	Mate7	high
0V7ZxgRBEnGD5Nou	787,1429,1074,2983,361,2138	SC-CL00	\N
0oTJbPDWKu3tO4LI	2640,1116,1838,201,1969,1614,1562,333,1088,1453,1285,465	荣耀畅玩版	rare
0B9Zr1qhePImy420	2641,1086,1195,1964,1528,1164,623,2756,2078,2123	\N	high
0qJN63c8U5LYNBE5	510,2145,2922,385,2529,1165,1654,2485,2945	荣耀畅玩版	\N
0JS3eMx2KdWTVhV5	1154,1399,1708,1604,1529,1636,2219,1479,969,1289,2191,1054,2276,2328,1961,657,1554	H30-U10	normal
0AwQnY8XYUMl02mu	341,1461,310,2829,1744,462,1986,2626,1899,766,1783,2766,2361,2755,2059,2960,1107	H30-U10	rare
0S1hox9S6MdUo1Mw	2066,1848,2609,583,784,2444,468,2253,2625,462,1477,2356,2278,1448,662,1891,1046	H60-L01	normal
0OyAMQllPOgCuwYe	1595,159,2024,312	Honer6	high
0B8XCP2b9ChdfB0N	207,2537,989,1937,2170,1537,2946,912,186,1358,1719,2489,1597	荣耀畅玩版	normal
0AE3tuVDHHIXyuo5	259,99,2521,921,2661,1329,2708,2623,2275,2334	SC-CL00	normal
08v0Ty0flWCX5YKS	1404,2780,293,65,2399,2603,61	P6-T00	\N
0NsXoafU4dPy3dxN	511,1189,2593,662,2923,1123,827,1136	SC-CL00	rare
0amuoaKUd6c1269V	81,246,1378	荣耀畅玩版	rare
0THH4hVVIs0s2rzo	1426,715,1407,206,1126,2588,1297,186,1052,1935,1933,2517,2395	H30-U10	\N
0dKa4nJ9Tl9SgoNO	1067,511,1916,648,472,525,2772,1538,1773,424,731,86,1748,2693,2906,962,1796	U9508	high
0RGdFWtMCl3mXi8f	258,2524,2802,2058,2313,809	CHE1-CL20	high
0KFz52aTgklEJNOJ	108	H30-U10	rare
07an9NLqg6RWjmn1	1942,2744,2500,2319,2929,1320,2971,2935,2358,1327,1517,1244,1649,1722,1930,931	Mate7	\N
0MnOB8AsCqIAlPwc	495,2022,616,1911,1705	SC-CL00	normal
0anmt8jLu4iBP0FH	1942,987,1761,1646,1614,129,1768,1633,521,1684,703,2657,1803,2696,2518,1040,2574,125,758	P6-T00	rare
0jzXOvlYUD3WanQh	593,2342,992,2770,758,795,120	Mate7	\N
